source,run_stage,forge_dust_min,forge_dust_max,ember_core_min,ember_core_max,sigil_token_min,sigil_token_max,insurance_seal_drop_chance_percent,notes
normal_room,act1,20,45,0,0,1,2,0,baseline farming
normal_room,act2,35,70,0,1,1,3,1,slightly improved rewards
normal_room,act3,60,110,1,2,2,4,2,high pressure baseline
elite_room,act1,90,140,1,2,3,5,4,first risk spike
elite_room,act2,130,200,2,3,4,6,6,reward for harder fights
elite_room,act3,200,300,3,5,5,8,8,high payout target
event_shrine,any,40,120,0,3,2,7,5,high variance
field_forge,any,25,60,1,2,1,3,0,support room
shop_clear_bonus,any,0,0,0,0,0,0,3,bonus roll if no purchase
miniboss,act2_or_3,250,380,4,7,6,10,10,guaranteed high value chest
boss_kill,act1,300,450,5,8,8,12,12,act completion anchor
boss_kill,act2,450,700,8,12,12,18,16,midgame climax
boss_kill,act3,700,1100,12,20,18,28,22,full clear jackpot
extract_early_multiplier,any,0.7,0.7,0.7,0.7,0.7,0.7,0,applies to total carried rewards
extract_final_multiplier,any,1.0,1.0,1.0,1.0,1.0,1.0,0,full value extraction
